arsenic,cadmium,lead,mercury
0.0051812638582567384,0.00016476415847439663,0.001887166477084349,0.007945638616614093
0.004292464618494943,0.06,0.0033125268432755875,0.009384797950342987
0.007386258380716425,0.089,0.0005989034241899165,4.7154116559035674e-05
0.007354665924436201,0.0016886887643926078,0.002614565730557251,0.002703998859010628
0.0017670673277957664,4.2546781285226485e-06,0.0003188575121664061,0.004075014862038741
0.063,0.0017777128848393616,0.081,0.0017588569496423084
0.010458554631049326,0.08,0.003518962936170831,0.0007469194136095328
0.01592188042255009,0.0018793476377772273,0.0024263805720199385,0.006161145720845626
0.053,0.003085271004798562,0.059,0.0038313166284464936
0.054,0.0005837306352414804,0.07,0.006005448136214556
0.0015444416994401333,0.0017916369549784443,0.0030299419039710863,0.006971149906047927
0.012706164879644221,0.00352112831506852,0.002284053335265057,0.000971466181226354
0.0026106230736490516,0.0034778618878121338,0.0016968124086494951,0.00324120619105905
0.0015117470004096364,0.002107601662206389,0.003844075601008358,0.008047741782834622
0.008913785942984977,0.002771759432364834,0.00034846270725485295,0.010006546134881507
0.010328478859757748,0.0017665560014549562,0.0012158111146276492,0.00322536506698391
0.169,0.148,0.392,0.004260813001660645
0.015028742198563486,0.0009899594471049023,0.001217886839625944,0.009222064487954615
0.01123294583418975,0.000990590262090148,0.0009891348972608865,0.01039065570821649
0.010184956867746585,0.083,0.001629533360261387,0.0036844210694153903
0.304,0.0017590977801072146,0.205,0.006433895007856332
0.076,0.016,0.154,0.008819264887476495
0.006186814742395822,0.0011287576829926587,0.152,0.01056923477935887
0.065,0.023,0.18,0.015
0.076,0.00395547499012564,0.0007144165822562818,0.007425197151190235
0.018,0.0018318332096597702,0.0018771903403863414,0.008193229500861514
0.05,0.004,0.015,0.006408293227923351
0.067,0.0037521225822942992,0.008,0.00135913347414868
0.058,0.006,0.042,0.007706122993095659
0.173,0.004,0.034,0.009811234181199335
0.144,0.0009285179304713265,0.009,0.00605293872405593
0.064,0.00058781283284514,0.005,0.0044162331188498305
0.077,0.009,0.008,0.0020039931488946266
0.048,0.0036853188111510083,0.005,0.004936836011094698
0.123,0.0008802212739203195,0.011,0.005510172512191467
0.032,0.005,0.0019839408480725115,0.007464645837551376
0.061,0.00216826495065398,0.022,0.004066961352594805
0.065,0.001576265024239362,0.004,0.005276902301715518
0.084,0.005,0.006,0.004594375473459163
0.035,0.006,0.006,0.0048366493317326675
0.147,0.319,1.162,0.004498777079763074
0.123,0.272,0.131,0.0013154601929366114
0.102,0.256,0.154,0.008334255997321245
0.33,0.166,0.27,0.0026695122320599717
0.093,0.238,0.05,0.008366725144657668
0.007346214775612298,0.00011917987888083336,0.0005877529503639978,0.0008172027071729123
0.075,0.0023626728595192888,0.002397173465939229,0.0035508987658599196
0.008216120805538478,0.0027556662844708544,0.003330614246202474,0.009019934511034961
0.006652351281753947,0.0011300157755909116,0.0025117609567622515,0.004399971043640514
0.015149168677160443,0.003728371473475143,0.0027991240302242602,0.008845982053548893
0.002118770412956577,0.0031711079359931084,0.002857757822460136,0.010249805645863055
0.006616329640771193,0.0026269249451315955,0.0011325141829746897,0.007979865007667375
0.009505052706587644,0.0010452712519730789,0.00020486777210048857,0.004126521998007285
0.055,0.0018348472130806947,0.002995648767549582,0.007553761740643884
0.135,0.175,0.11,0.009327283368203116
0.044,0.075,0.01,0.001617155490483712
0.062,0.014,0.009,0.0013892621001692423
0.055,0.03,0.011,0.0005029797099506574
0.081,0.024,0.015,0.0021750917793702364
0.051,0.031,0.012,0.00037763936085381567
0.12,0.03,0.186,0.002578450253830917
0.006719168293331416,0.002083799663053662,0.00370397205359928,0.009449150113472448
0.055,0.00010074811030179154,0.002047064489126858,0.007476747830556689
0.007615822159288037,0.002414950384597253,0.003802041754937779,0.0007477157135862649
0.052,0.3,0.0004635404359759181,0.006865807911311321
0.001577954294044007,0.152,0.002399906783565847,0.008257047013114244
0.065,0.002923214241956535,0.002509904668260436,0.0080763604082968
0.007897159357387887,0.001547399527878207,0.005,0.004858268963755421
0.023,0.0016164221532690174,0.004,0.005539928029931986
0.00542816285564615,0.0022443464404994767,0.005,0.003954778724685854
0.041,0.026,0.034,0.007399078319042263
0.000628903791990945,0.006,0.0032517772709301537,0.0021811499275019913
0.005047174670347875,0.009,0.005,0.006613612226693445
0.010640706419813017,0.008,0.021,0.00709768006545543
0.018,0.0013537390931536088,0.016,0.009526973244256373
0.008516521093188753,0.0020144362101605366,0.0029274032710817867,0.010421859765906828
0.011431803676195286,0.0017865808617554477,0.0017953191683692223,8.972678229652719e-05
0.013400589536603703,0.0021405216482694184,0.002852718554619172,0.008659466068361125
0.013646476911596067,0.0013683896119073755,0.002339249490017103,0.008877737438056218
0.015865254692498366,0.0039003648025899883,0.0029714259295538486,0.009283851388458669
0.007502237587000023,0.0038089788125848408,0.0013975632839790322,0.009402102750400194
