,order_date_received,accessioning_type,sample_id,arsenic_ug_g,cadmium_ug_g,lead_ug_g,mercury_ug_g
148,02/16/2021 11:57 AM,Concentrate,210215-068,,0.00786666666667,0.0263666666667,0.00263333333333
149,02/16/2021 11:57 AM,Edible (Other),210215-069,0.315333333333,0.248333333333,0.615,0.0127333333333
150,02/16/2021 11:57 AM,Distillate,210215-070,,0.0094,0.0215666666667,0.0024
151,02/16/2021 11:57 AM,Flower,210215-071,,0.0664666666667,0.117333333333,0.00866666666667
152,02/17/2021 09:33 AM,Isolate,210216-012,0.0256333333333,0.0078,0.0237666666667,0.00306666666667
153,02/17/2021 10:15 AM,Tincture,210216-054,,0.0111,0.0128333333333,0.0041
154,02/17/2021 10:15 AM,Tincture,210216-055,,0.00873333333333,0.0160333333333,0.00193333333333
155,02/18/2021 01:25 PM,Concentrate,210218-005,0.0222333333333,0.0287,0.0369,0.0277
156,02/18/2021 01:52 PM,Leaf/Mixed Plant Material,210217-016,34.6666666667,4.31,,0.142666666667
157,02/18/2021 12:01 PM,Concentrate,210217-013,0.106766666667,0.163666666667,0.364,0.0335666666667
158,02/18/2021 12:01 PM,Kief / Hash,210217-014,0.0233666666667,0.0647333333333,0.0645,0.0184666666667
159,02/18/2021 12:01 PM,Kief / Hash,210217-015,0.208,0.163666666667,0.529666666667,0.0190333333333
160,02/19/2021 01:31 PM,Flower,210219-004,0.0293,0.0630666666667,0.123,0.0171
161,02/19/2021 01:42 PM,Isolate,210127-096,,0.0499333333333,0.0738,0.04
162,02/19/2021 02:52 PM,Flower,210218-006,0.195333333333,0.0851333333333,0.164666666667,0.0166333333333
163,02/19/2021 09:24 AM,Isolate,210218-008,0.026,0.0285666666667,0.053,0.0223
164,02/19/2021 09:24 AM,Concentrate,210218-009,,0.0281333333333,0.0417333333333,0.0215
165,02/19/2021 11:49 AM,Leaf/Mixed Plant Material,210216-007,,0.0179666666667,0.00556666666667,0.0089
166,02/19/2021 11:49 AM,Concentrate,210216-008,0.0248,0.0432666666667,0.0708,0.0112666666667
167,02/19/2021 11:49 AM,Flower,210216-009,0.0186333333333,0.0813333333333,0.0528333333333,0.0118
168,02/19/2021 11:49 AM,Flower,210216-010,0.0041,0.0275333333333,0.0187666666667,0.0077
169,02/19/2021 11:49 AM,Leaf/Mixed Plant Material,210216-011,0.0228,0.0120333333333,0.00516666666667,0.00553333333333
170,02/22/2021 10:13 AM,Concentrate,210222-018,0.0219333333333,0.0299,0.046,0.0230333333333
171,02/22/2021 10:13 AM,Distillate,210222-019,0.0420666666667,0.0163666666667,0.0241333333333,0.0128666666667
172,02/22/2021 11:44 AM,Concentrate,210222-023,,0.0306333333333,0.0726,0.0244
173,02/23/2021 01:04 PM,Distillate,210221-001,0.0474,0.0264666666667,0.0178,0.0158
174,02/23/2021 01:04 PM,Edible (Other),210221-002,0.0321333333333,0.0125333333333,0.0140333333333,0.00696666666667
